Velocity,Acceleration,Road Grade,Fuel Rate,Infeasible
0,4,-0.03,6.16862650870373,1
0,4,-0.027,6.202526906132,1
0,4,-0.024,6.2359796591345,1
0,4,-0.021,6.26897720604576,1
0,4,-0.018,6.30151199855265,1
0,4,-0.015,6.33357650234503,1
0,4,-0.012,6.36516319776602,1
0,4,-0.009,6.39626458046198,1
0,4,-0.006,6.42687316203201,1
0,4,-0.003,6.45698147067708,1
0,4,0,6.48658205184858,1
0,4,0.003,6.51566746889636,1
0,4,0.006,6.54423030371612,1
0,4,0.009,6.57226315739614,1
0,4,0.012,6.59975865086332,1
0,4,0.015,6.62670942552839,1
0,4,0.018,6.65310814393033,1
0,4,0.021,6.67894749037995,1
0,4,0.024,6.70422017160243,1
0,4,0.027,6.72891891737898,1
0,4,0.03,6.75303648118743,1
0,3.92,-0.03,6.06240295481261,1
0,3.92,-0.027,6.09763413117193,1
0,3.92,-0.024,6.13243961973993,1
0,3.92,-0.021,6.16681185169207,1
0,3.92,-0.018,6.20074327076901,1
0,3.92,-0.015,6.2342263339271,1
0,3.92,-0.012,6.26725351198863,1
0,3.92,-0.009,6.29981729029174,1
0,3.92,-0.006,6.33191016933997,1
0,3.92,-0.003,6.36352466545137,1
0,3.92,0,6.39465331140712,1
0,3.92,0.003,6.42528865709968,1
0,3.92,0.006,6.45542327018021,1
0,3.92,0.009,6.48504973670555,1
0,3.92,0.012,6.51416066178433,1
0,3.92,0.015,6.54274867022243,1
0,3.92,0.018,6.57080640716762,1
0,3.92,0.021,6.59832653875335,1
0,3.92,0.024,6.62530175274162,1
0,3.92,0.027,6.65172475916494,1
0,3.92,0.03,6.67758829096722,1
0,3.84,-0.03,5.95225119752731,1
0,3.84,-0.027,5.98874644786859,1
0,3.84,-0.024,6.02483796164834,1
0,3.84,-0.021,6.06051816348338,1
0,3.84,-0.018,6.09577948976857,1
0,3.84,-0.015,6.13061438932725,1
0,3.84,-0.012,6.16501532406135,1
0,3.84,-0.009,6.19897476960135,1
0,3.84,-0.006,6.23248521595579,1
0,3.84,-0.003,6.26553916816035,1
0,3.84,0,6.29812914692661,1
0,3.84,0.003,6.33024768929018,1
0,3.84,0.006,6.36188734925834,1
0,3.84,0.009,6.393040698457,1
0,3.84,0.012,6.42370032677713,1
0,3.84,0.015,6.4538588430203,1
0,3.84,0.018,6.4835088755436,1
0,3.84,0.021,6.51264307290363,1
0,3.84,0.024,6.54125410449971,1
0,3.84,0.027,6.56933466121606,1
0,3.84,0.03,6.59687745606307,1
0,3.76,-0.03,5.83837491342719,1
0,3.76,-0.027,5.87606753280132,1
0,3.76,-0.024,5.91337836143908,1
0,3.76,-0.021,5.95029981799903,1
0,3.76,-0.018,5.98682433213068,1
0,3.76,-0.015,6.0229443451248,1
0,3.76,-0.012,6.05865231056352,1
0,3.76,-0.009,6.09394069497017,1
0,3.76,-0.006,6.12880197845881,1
0,3.76,-0.003,6.16322865538337,1
0,3.76,0,6.19721323498639,1
0,3.76,0.003,6.23074824204723,1
0,3.76,0.006,6.26382621752983,1
0,3.76,0.009,6.29643971922982,1
0,3.76,0.012,6.32858132242104,1
0,3.76,0.015,6.36024362050132,1
0,3.76,0.018,6.39141922563761,1
0,3.76,0.021,6.42210076941016,1
0,3.76,0.024,6.45228090345605,1
0,3.76,0.027,6.48195230011167,1
0,3.76,0.03,6.51110765305431,1
0,3.68,-0.03,5.72097777909159,1
0,3.68,-0.027,5.75980106254946,1
0,3.68,-0.024,5.79826449569148,1
0,3.68,-0.021,5.83636049181835,1
0,3.68,-0.018,5.87408147443467,1
0,3.68,-0.015,5.9114198778991,1
0,3.68,-0.012,5.94836814807447,1
0,3.68,-0.009,5.98491874297751,1
0,3.68,-0.006,6.02106413342837,1
0,3.68,-0.003,6.05679680369977,1
0,3.68,0,6.09210925216578,1
0,3.68,0.003,6.12699399195014,1
0,3.68,0.006,6.16144355157403,1
0,3.68,0.009,6.19545047560335,1
0,3.68,0.012,6.22900732529541,1
0,3.68,0.015,6.26210667924485,1
0,3.68,0.018,6.29474113402898,1
0,3.68,0.021,6.32690330485225,1
0,3.68,0.024,6.35858582618997,1
0,3.68,0.027,6.38978135243113,1
0,3.68,0.03,6.42048255852029,1
0,3.6,-0.03,5.60026347109983,1
0,3.6,-0.027,5.64015071369233,1
0,3.6,-0.024,5.67970004098488,1
0,3.6,-0.021,5.71890386152069,1
0,3.6,-0.018,5.75775459325986,1
0,3.6,-0.015,5.79624466422949,1
0,3.6,-0.012,5.83436651317355,1
0,3.6,-0.009,5.87211259020272,1
0,3.6,-0.006,5.9094753574438,1
0,3.6,-0.003,5.94644728968887,1
0,3.6,0,5.98302087504414,1
0,3.6,0.003,6.01918861557826,1
0,3.6,0.006,6.05494302797027,1
0,3.6,0.009,6.09027664415693,1
0,3.6,0.012,6.12518201197957,1
0,3.6,0.015,6.15965169583021,1
0,3.6,0.018,6.19367827729705,1
0,3.6,0.021,6.22725435580925,1
0,3.6,0.024,6.26037254928081,1
0,3.6,0.027,6.29302549475376,1
0,3.6,0.03,6.32520584904033,1
0,3.52,-0.03,5.47643566603126,1
0,3.52,-0.027,5.51732016280929,1
0,3.52,-0.024,5.55788867389861,1
0,3.52,-0.021,5.59813360368537,1
0,3.52,-0.018,5.63804736518562,1
0,3.52,-0.015,5.67762238069529,1
0,3.52,-0.012,5.7168510824401,1
0,3.52,-0.009,5.75572591322515,1
0,3.52,-0.006,5.79423932708445,1
0,3.52,-0.003,5.83238378993003,1
0,3.52,0,5.8701517802008,1
0,3.52,0.003,5.90753578951093,1
0,3.52,0.006,5.94452832329789,1
0,3.52,0.009,5.9811219014699,1
0,3.52,0.012,6.01730905905286,1
0,3.52,0.015,6.05308234683674,1
0,3.52,0.018,6.08843433202117,1
0,3.52,0.021,6.12335759886049,1
0,3.52,0.024,6.1578447493079,1
0,3.52,0.027,6.19188840365891,1
0,3.52,0.03,6.22548120119378,1
0,3.44,-0.03,5.34969804046522,1
0,3.44,-0.027,5.39151308647967,1
0,3.44,-0.024,5.43303407101203,1
0,3.44,-0.021,5.47425339489174,1
0,3.44,-0.018,5.51516346679126,1
0,3.44,-0.015,5.55575670387586,1
0,3.44,-0.012,5.59602553245344,1
0,3.44,-0.009,5.63596238862412,1
0,3.44,-0.006,5.67555971892965,1
0,3.44,-0.003,5.71480998100257,1
0,3.44,0,5.75370564421509,1
0,3.44,0.003,5.79223919032748,1
0,3.44,0.006,5.83040311413624,1
0,3.44,0.009,5.86818992412159,1
0,3.44,0.012,5.90559214309463,1
0,3.44,0.015,5.94260230884378,1
0,3.44,0.018,5.97921297478067,1
0,3.44,0.021,6.01541671058531,1
0,3.44,0.024,6.0512061028506,1
0,3.44,0.027,6.0865737557259,1
0,3.44,0.03,6.12151229155998,1
0,3.36,-0.03,5.22025427098104,1
0,3.36,-0.027,5.26293316128281,1
0,3.36,-0.024,5.30533990890445,1
0,3.36,-0.021,5.34746691171914,1
0,3.36,-0.018,5.38930657465614,1
0,3.36,-0.015,5.43085131035053,1
0,3.36,-0.012,5.47209353979293,1
0,3.36,-0.009,5.51302569297897,1
0,3.36,-0.006,5.55364020955873,1
0,3.36,-0.003,5.59392953948584,1
0,3.36,0,5.63388614366635,1
0,3.36,0.003,5.67350249460726,1
0,3.36,0.006,5.71277107706464,1
0,3.36,0.009,5.75168438869135,1
0,3.36,0.012,5.79023494068421,1
0,3.36,0.015,5.82841525843067,1
0,3.36,0.018,5.86621788215488,1
0,3.36,0.021,5.90363536756306,1
0,3.36,0.024,5.94066028648822,1
0,3.36,0.027,5.97728522753409,1
